"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"11","영화상영관","03_13_02_P","3600000","CDFF4220002006000001","2006-12-21","","02","휴업","02","휴업","","2007-10-18","2010-06-30","","062-383-3445","","502-827","광주광역시 서구 치평동 1213-4번지","광주광역시 서구 상무중앙로 96  (치평동)","","프리머스시네마1관","2010-01-11 08:05:53","I","2018-08-31 23:59:59","","186168.530217801","184045.568570352","영화상영관","영화상영관","14","기타","","","12","2","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20061221","중심상업지역",
"12","영화상영관","03_13_02_P","3600000","CDFF4220002006000002","2006-12-21","","02","휴업","02","휴업","","2007-10-18","2010-06-30","","062-383-3445","","502-827","광주광역시 서구 치평동 1213-4번지","광주광역시 서구 상무중앙로 96  (치평동)","","프리머스시네마2관","2010-01-11 08:07:27","I","2018-08-31 23:59:59","","186168.530217801","184045.568570352","영화상영관","영화상영관","14","기타","","","12","2","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20061221","중심상업지역",
"13","영화상영관","03_13_02_P","3600000","CDFF4220002006000003","2006-12-21","","02","휴업","02","휴업","","2007-10-18","2010-06-30","","062-383-3445","","502-827","광주광역시 서구 치평동 1213-4번지","광주광역시 서구 상무중앙로 96  (치평동)","","프리머스시네마3관","2010-01-11 08:08:27","I","2018-08-31 23:59:59","","186168.530217801","184045.568570352","영화상영관","영화상영관","14","기타","","","12","2","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20061221","중심상업지역",
"14","영화상영관","03_13_02_P","5050000","CDFF4220002005000001","2005-07-15","","02","휴업","02","휴업","","2024-03-04","2027-03-04","","054-772-3600","","","경상북도 경주시 노동동 55-1 (2층)","경상북도 경주시 원효로 110 (노동동)","38158","메가박스 2관","2024-03-07 10:19:26","U","2024-03-09 02:40:00","","399859.732613256","262426.131995775","영화상영관","영화상영관","2","","","0","2","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","20050715","",
"15","영화상영관","03_13_02_P","5050000","CDFF4220002005000002","2005-07-15","","02","휴업","02","휴업","","2024-03-04","2027-03-04","","054-772-3600","","","경상북도 경주시 노동동 55-1 (2층)","경상북도 경주시 원효로 110 (노동동)","38158","메가박스 3관","2024-03-07 10:19:48","U","2024-03-09 02:40:00","","399859.732613256","262426.131995775","영화상영관","영화상영관","2","","","0","2","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","20050715","",
"16","영화상영관","03_13_02_P","5050000","CDFF4220001991000001","2005-07-15","","02","휴업","02","휴업","","2024-03-04","2027-03-04","","054-772-3600","","","경상북도 경주시 노동동 55-1 (2층)","경상북도 경주시 원효로 110 (노동동)","38158","메가박스 1관","2024-03-07 10:18:58","U","2024-03-09 02:40:00","","399859.732613256","262426.131995775","영화상영관","영화상영관","2","","","0","2","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","20050715","",
"17","영화상영관","03_13_02_P","5180000","CDFF4220002003000001","2003-04-10","","02","휴업","02","휴업","","","","","","","766-824","경상북도 영덕군 강구면 삼사리 38번지","","","영화촌","2010-04-27 10:44:04","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","1","기타","","","1","","문화시설","","","","","","","","","","","","","","","","","","","자동차극장","","20030410","준주거지역",
"18","영화상영관","03_13_02_P","4520000","CDFF4220001998000001","1998-03-22","","02","휴업","02","휴업","","2005-03-14","2007-03-13","","041-545-2566","","336-010","충청남도 아산시 온천동 86-3번지","","","동보극장","2006-02-27 16:06:37","I","2018-08-31 23:59:59","","200413.472863537","364441.830506855","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19980322","",
"19","영화상영관","03_13_02_P","4520000","CDFF4220001998000002","1998-03-23","","02","휴업","02","휴업","","2002-12-23","2003-01-30","","041-545-2006","","336-010","충청남도 아산시 온천동 87-5번지","충청남도 아산시 온천대로 1502-3  (온천동)","","온양극장","2003-02-10 09:19:54","I","2018-08-31 23:59:59","","200353.036482849","364380.754829205","영화상영관","영화상영관","5","유흥업소밀집지역","","","4","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","19980323","일반상업지역",
"20","영화상영관","03_13_02_P","3830000","CDFF4220002018000001","2018-08-31","","02","휴업","02","휴업","","","","","031-464-0900","","","경기도 안양시 만안구 안양동 676-1번지 PROJECT 500 TOWER","경기도 안양시 만안구 안양로 311, PROJECT 500 TOWER 6층 (안양동)","14001","Odyssey VR Cinema","2019-10-14 09:51:57","U","2019-10-16 02:40:00","","","","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20180831","",
"21","영화상영관","03_13_02_P","3600000","CDFF4220002004000002","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제2관","2010-05-12 10:43:47","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","15","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"22","영화상영관","03_13_02_P","3600000","CDFF4220002004000003","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제3관","2010-05-12 10:44:10","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","","기타","","","","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"23","영화상영관","03_13_02_P","3600000","CDFF4220002004000004","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제4관","2010-05-12 10:44:44","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","15","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"24","영화상영관","03_13_02_P","3600000","CDFF4220002004000005","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제5관","2010-05-12 10:44:57","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"25","영화상영관","03_13_02_P","3600000","CDFF4220002004000006","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제6관","2010-05-12 10:45:12","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"26","영화상영관","03_13_02_P","3600000","CDFF4220002004000007","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제7관","2010-05-12 10:45:26","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"27","영화상영관","03_13_02_P","3600000","CDFF4220002004000008","2004-12-02","","02","휴업","02","휴업","","2010-04-05","2010-10-04","","062-385-7788","","","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67  (치평동)","","메가박스 상무 제8관","2010-05-12 10:45:46","I","2018-08-31 23:59:59","","186350.816422951","183915.870052556","영화상영관","영화상영관","","기타","","","11","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041202","중심상업지역",
"28","영화상영관","03_13_02_P","4070000","CDFF4220001999000003","1999-07-14","","02","휴업","02","휴업","","2006-04-01","2006-06-30","","633-9600","","467-800","경기도 이천시 중리동 203번지","경기도 이천시 어재연로 24  (중리동)","","이천극장3관","2006-04-04 15:25:59","I","2018-08-31 23:59:59","","239348.748537525","419751.787872235","영화상영관","영화상영관","","","","","","","","1.1","","","","","","","","","","","","","","","","","","영화관","","19990714","",
"29","영화상영관","03_13_02_P","4070000","CDFF4220001999000002","1999-07-14","","02","휴업","02","휴업","","2006-04-01","2006-06-30","","633-9600","","467-800","경기도 이천시 중리동 203번지","경기도 이천시 어재연로 24  (중리동)","","이천극장2관","2006-04-04 15:25:03","I","2018-08-31 23:59:59","","239348.748537525","419751.787872235","영화상영관","영화상영관","","","","","","","","1.1","","","","","","","","","","","","","","","","","","영화관","","19990714","",
"30","영화상영관","03_13_02_P","4990000","CDFF4220002017000001","2017-09-20","","02","휴업","02","휴업","","","","","","","","전라남도 완도군 완도읍 9-191번지","전라남도 완도군 완도읍 개포로159번길 55 (완도맞춤형복합문화센터)","59109","완도 빙그레 시네마 1관","2020-03-19 10:43:06","U","2020-03-21 02:40:00","","176138.677296205","91814.5673801413","영화상영관","","3","","","","3","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20170920","",
"31","영화상영관","03_13_02_P","4990000","CDFF4220002017000002","2017-09-20","","02","휴업","02","휴업","","","","","","","","전라남도 완도군 완도읍 9-191번지","전라남도 완도군 완도읍 개포로159번길 55 (완도맞춤형복합문화센터)","59109","완도 빙그레 시네마 2관","2020-03-19 10:43:37","U","2020-03-21 02:40:00","","176138.677296205","91814.5673801413","영화상영관","","3","","","","3","1","","","","","","","","","","","","","","","","","","","","영화관","","20170920","",
"32","영화상영관","03_13_02_P","4810000","CDFF4220002002000001","2002-01-25","","02","휴업","02","휴업","","","","","663-2680","","550-803","전라남도 여수시 교동 497번지","전라남도 여수시 중앙로 54  (교동)","","중앙극장","2009-12-31 11:35:53","I","2018-08-31 23:59:59","","267089.728088607","138176.637733267","영화상영관","영화상영관","3","","","","3","1","","6","","","","","","","","","","","","","","","","","","영화관","","20020125","",
"33","영화상영관","03_13_02_P","4810000","CDFF4220002002000006","2002-11-11","","02","휴업","02","휴업","","2003-03-10","2004-12-31","","644-4252","","556-905","전라남도 여수시 돌산읍 평사리 1271-6번지","","","동백골시네파크","2004-07-05 10:21:31","I","2018-08-31 23:59:59","","271033.9978967","132107.939020189","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20021111","",
"34","영화상영관","03_13_02_P","4810000","CDFF4220002002000010","2002-01-25","","02","휴업","02","휴업","","2004-10-25","2005-04-24","","","","550-803","전라남도 여수시 교동 497번지","전라남도 여수시 중앙로 54  (교동)","","중앙극장","2004-11-06 10:28:31","I","2018-08-31 23:59:59","","267089.728088607","138176.637733267","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20020125","",
"35","영화상영관","03_13_02_P","4060000","CDFF4220002004000002","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(5관)","2024-10-25 14:36:11","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"36","영화상영관","03_13_02_P","4060000","CDFF4220002004000003","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(6관)","2024-10-25 14:37:00","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"37","영화상영관","03_13_02_P","4060000","CDFF4220002004000004","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(7관)","2024-10-25 14:37:18","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"38","영화상영관","03_13_02_P","4060000","CDFF4220002004000005","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(8관)","2024-10-25 14:37:36","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"39","영화상영관","03_13_02_P","4060000","CDFF4220002004000006","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(9관)","2024-10-25 14:37:55","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"40","영화상영관","03_13_02_P","4060000","CDFF4220002004000007","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(1관)","2024-10-25 14:38:13","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"41","영화상영관","03_13_02_P","4060000","CDFF4220002004000008","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(2관)","2024-10-25 14:38:33","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"42","영화상영관","03_13_02_P","4060000","CDFF4220002004000009","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(3관)","2024-10-25 14:38:50","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"43","영화상영관","03_13_02_P","4060000","CDFF4220002004000010","2004-07-14","","02","휴업","02","휴업","","2024-08-07","2024-12-31","","070-7017-1083","","","경기도 파주시 문발동 510-1","경기도 파주시 문발로 220 (문발동)","10881","(주)스타라운지(4관)","2024-10-25 14:39:07","U","2024-10-27 02:40:00","","172401.251761358","467977.5877297","영화상영관","영화상영관","4","기타","","0","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20040714","준공업지역",
"44","영화상영관","03_13_02_P","4060000","CDFF4220002019000001","2019-11-18","","02","휴업","02","휴업","","2023-02-01","2024-03-31","","0319572278","","","경기도 파주시 조리읍 능안리 1083","경기도 파주시 조리읍 탑삭골길 222","10935","퍼스트가든 자동차극장","2024-02-13 14:43:40","U","2024-02-15 02:40:00","","181846.959613735","470130.397887235","영화상영관","","2","","","0","2","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20191118","",
"45","영화상영관","03_13_02_P","4181000","CDFF4220001987000001","1987-11-10","","02","휴업","02","휴업","","2013-11-21","","","033)256-3367","","200-941","강원특별자치도 춘천시 조양동 25-1 (피카디리극장)","강원특별자치도 춘천시 시청길 12 (조양동, (피카디리극장))","24352","피카디리극장","2019-01-04 10:10:37","I","2023-06-13 00:00:00","","264058.010369038","486641.245936737","영화상영관","영화상영관","0","","","0","2","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19871110","",
"46","영화상영관","03_13_02_P","4181000","CDFF4220001991000002","1991-09-04","","02","휴업","02","휴업","","2013-02-16","","","033)256-7701","","200-941","강원특별자치도 춘천시 조양동 25-1 2,3호","강원특별자치도 춘천시 시청길 12 (조양동)","24352","아카데미극장","2019-01-04 10:13:27","I","2023-06-13 00:00:00","","264058.010369038","486641.245936737","영화상영관","영화상영관","0","","","0","3","1","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19910904","",
"47","영화상영관","03_13_02_P","3310000","CDFF4220002018000001","2018-05-02","","02","휴업","02","휴업","","2025-02-01","2026-01-31","","","","","부산광역시 남구 대연동 965-2 가람빌딩","부산광역시 남구 유엔평화로76번길 26, 가람빌딩 (대연동)","48533","부산예술관","2025-03-11 09:10:57","U","2025-03-13 02:40:00","","390688.560676822","182959.289181372","영화상영관","","0","","","0","7","1","근린생활시설","1","0","0","0","","","","","","","","","","","","0","","","영화관","","20180502","일반주거지역",
"48","영화상영관","03_13_02_P","4800000","CDFF4220001989000001","1989-04-27","","02","휴업","02","휴업","","2003-02-21","2003-12-31","","061-244-0650","","530-250","전라남도 목포시 상락동1가 1번지","전라남도 목포시 삼학로16번길 1  (상락동1가)","","남일극장","2003-02-26 13:08:20","I","2018-08-31 23:59:59","","143852.810267394","143641.875672263","영화상영관","영화상영관","2","기타","","","2","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","19890427","일반상업지역",
"49","영화상영관","03_13_02_P","4820000","CDFF4220001974000001","1974-07-10","","02","휴업","02","휴업","","2004-01-30","2005-01-30","","752-3946","","540-210","전라남도 순천시 중앙동 24-5번지 (1층)","전라남도 순천시 중앙6길 16 (중앙동)","540-210","국도극장","2011-10-30 19:18:58","I","2018-08-31 23:59:59","","244212.113918193","162047.866698569","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19740710","",
"50","영화상영관","03_13_02_P","4820000","CDFF4220001990000001","1990-01-23","","02","휴업","02","휴업","","","","","","","","전라남도 순천시 남내동 8-2번지 (3층)","전라남도 순천시 시민로 47 (남내동)","540-220","피카디리극장","2011-10-30 19:19:39","I","2018-08-31 23:59:59","","244312.871455679","161790.920968796","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19900123","",
"51","영화상영관","03_13_02_P","4880000","CDFF4220002003000002","2003-12-10","","02","휴업","02","휴업","","","","","","","548-831","전라남도 고흥군 과역면 과역리 196번지","","","흥양영화사","2010-04-15 09:50:32","I","2018-08-31 23:59:59","","233059.574266697","131389.431874578","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20031210","",
"52","영화상영관","03_13_02_P","5070000","CDFF4220002002000002","2002-10-29","","02","휴업","02","휴업","","2009-11-18","","","054-854-2255","","760-090","경상북도 안동시 서부동 182-2번지","경상북도 안동시 번영길 27  (서부동)","","안동극장","2013-10-07 16:47:40","I","2018-08-31 23:59:59","","354685.857620806","341885.761485552","영화상영관","영화상영관","","","","","","","",".9","","","","","","","","","","","","","","","","","","영화관","","20021029","",
"53","영화상영관","03_13_02_P","4671000","CDFF4220001971000001","1971-12-21","","02","휴업","02","휴업","","2010-01-01","2020-12-31","","","","573-070","전북특별자치도 군산시 개복동 12-1","전북특별자치도 군산시 아리랑로 9 (개복동)","","국도극장 1관","2017-09-22 09:04:27","I","2024-01-19 01:16:45","","174202.268377771","276057.831856095","영화상영관","영화상영관","0","","","0","0","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","19711221","",
"54","영화상영관","03_13_02_P","4671000","CDFF4220001991000001","1991-09-11","","02","휴업","02","휴업","","2010-01-01","2020-12-31","","","","573-041","전북특별자치도 군산시 중앙로1가 20-11","전북특별자치도 군산시 중정1길 3 (중앙로1가)","","아카데미극장","2017-09-22 09:07:01","I","2024-01-19 01:16:45","","174148.474759049","276166.950415155","영화상영관","영화상영관","0","","","0","0","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","19910911","",
"55","영화상영관","03_13_02_P","4671000","CDFF4220001991000002","1991-12-12","","02","휴업","02","휴업","","2017-01-02","9999-12-31","","","","573-050","전북특별자치도 군산시 신창동 1-3","전북특별자치도 군산시 구영3길 77 (신창동)","","명화극장","2018-01-02 11:42:53","I","2024-01-19 01:16:45","","173660.538909828","276458.271781161","영화상영관","영화상영관","0","","","0","0","0","","1","0","0","0","","","","","","","","","","","","0","","","영화관","","19911212","",
"56","영화상영관","03_13_02_P","4671000","CDFF4220001996000001","1996-12-31","","02","휴업","02","휴업","","2017-01-01","9999-12-31","","","","573-070","전북특별자치도 군산시 개복동 7-1","","","시네마우일","2018-01-02 11:44:21","I","2024-01-19 01:16:45","","174074.531513436","276074.531792137","영화상영관","영화상영관","0","","","0","0","0","","1.6","0","0","0","","","","","","","","","","","","0","","","영화관","","19961231","",
"57","영화상영관","03_13_02_P","4671000","CDFF4220002001000001","2001-12-01","","02","휴업","02","휴업","","2017-01-01","9999-12-31","","","","573-070","전북특별자치도 군산시 개복동 7-1 7-16,7-17","","","시네마우일2관","2018-01-02 11:46:44","I","2024-01-19 01:16:45","","174074.531513436","276074.531792137","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20011201","",
